company,attack_vector,mitre_attack_technique,data_compromised,operational_impact,attacker_named,confidence,filed_date,source_url
Brandywine Realty Trust,ransomware,T1486,['PII'],"Disruptions and limitation of access to portions of business applications supporting operations and corporate functions, including financial and operating reporting systems, though real estate operations continued in all material respects.",,high,2024-05-28,https://www.sec.gov/Archives/edgar/data/790816/000119312524147625/d774339d8ka.htm
"United Natural Foods, Inc.",unknown_unauthorized_access,,[],"Proactively taking certain systems offline temporarily impacted the Company’s ability to fulfill and distribute customer orders, resulting in reduced sales volume, increased operational costs, and direct expenses related to investigation and remediation.",,high,2025-06-26,https://www.sec.gov/Archives/edgar/data/1020859/000102085925000036/unfi-20250621.htm
Data I/O Corporation,ransomware,T1486,[],"Temporarily impacted internal/external communications, shipping, receiving, manufacturing production, and various other support functions.",,high,2025-08-21,https://www.sec.gov/Archives/edgar/data/351998/000165495425009925/daio_8k.htm
"Sonic Automotive, Inc.",third_party_vendor,,[],"Disruptions in access to certain information systems provided by CDK Global, including dealer management system (DMS), customer relationship management system (CRM), customer lead applications, inventory management applications, and related third-party application integrations, resulting in a material impact on Q2 earnings.",,high,2024-08-05,https://www.sec.gov/Archives/edgar/data/1043509/000104350924000063/sah-20240705.htm
Data I/O Corporation,ransomware,T1486,[],"Temporarily impacted internal/external communications, shipping, receiving, manufacturing production, and various other support functions.",,high,2025-09-10,https://www.sec.gov/Archives/edgar/data/351998/000165495425010613/daio_8k.htm
"8x8, Inc.",third_party_vendor,,"['competitively sensitive information', 'fragmented contract and opportunity information', 'sales team notes', 'contact information (names, business addresses, phone numbers and email addresses of the customers)']",,,high,2026-06-23,https://www.sec.gov/Archives/edgar/data/1023731/000102373126000084/eght-20260617.htm
"CareCloud, Inc.",unknown_unauthorized_access,,['patient information'],temporary network disruption in CareCloud Health division partially impacting functionality and data access to 1 of 6 electronic health record environments for approximately 8 hours,,medium,2026-03-27,https://www.sec.gov/Archives/edgar/data/1582982/000149315226013239/form8-k.htm
"iRhythm Holdings, Inc.",third_party_vendor,T1566,"['proprietary data', 'patient protected health information', 'personal information']","None identified; no impact to products, clinical or medical device systems, patient safety, manufacturing, distribution, financial reporting, or the company's ability to meet patient needs.",,high,2026-06-15,https://www.sec.gov/Archives/edgar/data/1388658/000138865826000055/irtc-20260610.htm
"LEE ENTERPRISES, INCORPORATED",ransomware,T1486,[],"System outage, encrypted critical applications, limited depth of products due to tightened schedules, and delays in back-office functions including client billing, collections, and vendor payments.",,high,2025-03-06,https://www.sec.gov/Archives/edgar/data/58361/000162828025010944/lee-20250212.htm
Nucor Corporation,unknown_unauthorized_access,,[],"temporary limitation of access to IT applications supporting operations at some facilities, and proactive halting of certain production operations at various locations",,medium,2025-06-20,https://www.sec.gov/Archives/edgar/data/73309/000119312525143135/d926586d8ka.htm
AdaptHealth Corp.,other,T1539,"['passwords', 'PII', 'health records']",,,high,2026-07-02,https://www.sec.gov/Archives/edgar/data/1725255/000110465926080297/ahco-20260627x8k.htm
Bitcoin Depot Inc.,credential_compromise,T1539,[],Loss of approximately 50.903 Bitcoin valued at approximately $3.665 million transferred without authorization from Company-controlled wallets.,,high,2026-04-08,https://www.sec.gov/Archives/edgar/data/1901799/000119312526147772/btm-20260406.htm
"F5, Inc.",unknown_unauthorized_access,,"['source code', 'undisclosed vulnerabilities information', 'configuration or implementation information']","As of the date of disclosure, this incident has not had a material impact on the Company's operations.",,high,2025-10-15,https://www.sec.gov/Archives/edgar/data/1048695/000104869525000149/ffiv-20251015.htm
AT&T INC.,third_party_vendor,T1530,"['customer call and text interaction records', 'telephone numbers', 'counts of interactions', 'aggregate call duration', 'cell site identification numbers']",,,high,2024-07-12,https://www.sec.gov/Archives/edgar/data/732717/000073271724000046/t-20240506.htm
River Financial Corporation,ransomware,T1486,[],Certain operations have been impacted; administrative accounts disabled and impacted systems taken offline.,,high,2026-06-25,https://www.sec.gov/Archives/edgar/data/1641601/000119312526282946/ck0001641601-20260619.htm
RIVER FINANCIAL CORPORATION,unknown_unauthorized_access,,['PII'],,,low,2026-07-17,https://www.sec.gov/Archives/edgar/data/1641601/000119312526307288/ck0001641601-20260619.htm
RIVER FINANCIAL CORPORATION,insufficient_data,,['PII'],,,low,2026-07-06,https://www.sec.gov/Archives/edgar/data/1641601/000119312526295704/ck0001641601-20260619.htm
Federal Home Loan Bank of New York,third_party_vendor,,[],,,high,2024-03-01,https://www.sec.gov/Archives/edgar/data/1329842/000165495424002505/fhlbny_8k.htm
RIVER FINANCIAL CORPORATION,unknown_unauthorized_access,T1567,[],,,medium,2026-07-10,https://www.sec.gov/Archives/edgar/data/1641601/000119312526300763/ck0001641601-20260619.htm
GLOBE LIFE INC.,unknown_unauthorized_access,T1078,"['consumer information', 'policyholder information']","Removal of external web access to the affected portal, though operations will not be significantly impacted.",,medium,2024-06-14,https://www.sec.gov/Archives/edgar/data/320335/000032033524000029/gl-20240614.htm
"DICK'S SPORTING GOODS, INC.",unknown_unauthorized_access,,['confidential information'],,,medium,2024-08-28,https://www.sec.gov/Archives/edgar/data/1089063/000108906324000104/dks-20240821.htm
Karat Packaging Inc.,unknown_unauthorized_access,,[],,,low,2024-10-23,https://www.sec.gov/Archives/edgar/data/1758021/000121390024089965/ea0218366-8k_karat.htm
Navient Corporation,third_party_vendor,T1486,"['PII', 'SSN', 'customer names', 'date of birth', 'addresses']",,,high,2026-07-02,https://www.sec.gov/Archives/edgar/data/1593538/000114036126027441/ef20077249_8k.htm
"WYTEC INTERNATIONAL, INC.",unknown_unauthorized_access,,[],"Website defaced and taken offline, inability to operate website, and cancellation of a seminar scheduled for September 2, 2025.",,high,2025-08-29,https://www.sec.gov/Archives/edgar/data/1560143/000168316825006583/wytec_8k.htm
Key Tronic Corporation,unknown_unauthorized_access,,[],"Disruptions and limitation of access to portions of business applications supporting operations and corporate functions, including financial and operating reporting systems.",,medium,2024-05-10,https://www.sec.gov/Archives/edgar/data/719733/000071973324000015/ktcc-20240506.htm
ENGlobal Corporation,ransomware,T1486,[],Access to the Company's IT system is limited to essential business operations and the timing of restoration of full access remains unclear.,,medium,2024-12-02,https://www.sec.gov/Archives/edgar/data/933738/000165495424015098/eng_8k.htm
"WYTEC INTERNATIONAL, INC.",unknown_unauthorized_access,T1491,[],"Website defaced and subsequently taken down, requiring restoration from backups, rebuilding on a new server and hosting platform, and enhancing security protocols.",,high,2026-02-03,https://www.sec.gov/Archives/edgar/data/1560143/000168316826000732/wytec_8ka1.htm
"Frontier Communications Parent, Inc.",unknown_unauthorized_access,,['PII'],Shutting down certain of the Company’s systems as a containment measure resulted in an operational disruption that could be considered material.,,medium,2024-04-18,https://www.sec.gov/Archives/edgar/data/20520/000119312524100764/d784189d8k.htm
UnitedHealth Group Incorporated,third_party_vendor,,[],"Certain networks and transactional services may not be accessible, and the company proactively isolated impacted Change Healthcare systems to contain the incident.",,medium,2024-02-22,https://www.sec.gov/Archives/edgar/data/731766/000073176624000045/unh-20240221.htm
"National Presto Industries, Inc.",unknown_unauthorized_access,,[],"Temporarily impacted operations including shipping and receiving, some manufacturing processes, and various other back office functions.",,low,2025-03-06,https://www.sec.gov/Archives/edgar/data/80172/000143774925006475/npk20250306_8k.htm
"MarineMax, Inc.",unknown_unauthorized_access,,[],"Disruption to a portion of the Company's business resulting from containment measures, though operations continued in all material respects.",,medium,2024-03-12,https://www.sec.gov/Archives/edgar/data/1057060/000095017024030041/hzo-20240310.htm
First American Financial Corporation,unknown_unauthorized_access,T1486,[],Systems isolated from the Internet; interruption in normal business operations with ongoing efforts to restore access and resume operations.,,medium,2023-12-29,https://www.sec.gov/Archives/edgar/data/1472787/000095017023073848/faf-20231220.htm
"CB Financial Services, Inc.",other,,"['customer names', 'social security numbers', 'dates of birth', 'non-public customer information']",,,high,2026-05-11,https://www.sec.gov/Archives/edgar/data/1605301/000160530126000021/cbfv-20260507.htm
UNITEDHEALTH GROUP INCORPORATED,insufficient_data,,[],Disruption of Change Healthcare services requiring restoration progress and ongoing data assessment.,,low,2024-04-24,https://www.sec.gov/Archives/edgar/data/731766/000073176624000150/unh-20240221.htm
"LEE ENTERPRISES, INCORPORATED",ransomware,T1486,['PII'],"Systems outage impacting product distribution, billing, collections, and vendor payments. Print publication distribution experienced delays, online operations partially limited, weekly and ancillary products not yet restored, and temporary manual processing required.",,high,2025-02-18,https://www.sec.gov/Archives/edgar/data/58361/000162828025005855/lee-20250212.htm
